State ID,State,Region,Kingdom Name,Ancient Weapon Name,Ancient Weapon Type,Ancient Weapon Ability,Modern Weapon Name,Modern Weapon Type,Modern Weapon Ability
"uttarakhand","Uttarakhand","north","Deva-Bhumi — The Land of the Gods","Kasturi-Jaal (Musk Net)","Scent-laced invisible silk net","Enemy follows the scent — walks into the net — by the time they smell it, they are already trapped","Kasturi Mk.II","Pheromone-guided autonomous capture system","Biological targeting — follows metabolic signature — cannot be countered by standard jamming"
"himachal-pradesh","Himachal Pradesh","north","Hima-Chhaya — The Shadow of Snow","Hima-Nakha (Snow Claws)","Paired hooked climbing daggers worn at knuckle and ankle","Simultaneous four-point strike — opponent has no frame of reference for where the next cut comes from","Hima-Nakha Mk.II","Thermal-vision climbing combat system","Heated edges prevent ice-bonding — thermal vision cuts through blizzard visibility — four-limb simultaneous targeting"
"punjab","Punjab","north","Panch-Nada — The Five Rivers","Panch-Nada (The Five Rivers)","Five-bladed war lance","Five simultaneous strike angles — rotates in grip — no defensive stance covers all five","Panch-Shakti Mk.II","Five-mode adaptive energy lance","Switches between five elemental energy modes — cycles automatically based on enemy armor type"
"haryana","Haryana","north","Kurukshetra-Bhoomi — The Battlefield Earth","Bhoomi-Danda (The Earth","Excavated iron war-staff from Kurukshetra earth","Channels the memory of every battle fought on this soil — opponents feel the weight of eighteen days","Bhoomi-Shakti Mk.II","Seismic resonance battlestaff","Drives into earth — releases stored kinetic energy through ground — affects everything within radius without being touched"
"assam","Assam","northeast","Ganda-Kshetra — The Rhinoceros Realm","Ganda-Kavach (The Rhino Shield)","Armored lotus-petal shield and short rhino-horn spear","Shield charges — uses rhino momentum in body — spear strikes from behind shield cover while charging","Ganda-Kavach Mk.II","Reactive armor lotus-shield system","Smart armor absorbs and redirects impact — spear is rail-accelerated for rhino-charge-equivalent velocity"
"arunachal-pradesh","Arunachal Pradesh","northeast","Arunodaya-Kshetra — The Land of the Dawn","Surya-Dhanu (Dawn Bow)","Composite tribal longbow that fires at sunrise angle","Arrow follows the dawn trajectory — blinding shot from the east — enemy faces sun and cannot see it coming","Surya-Vega Mk.II","Solar-charged particle bow with dawn-angle targeting","Charges from ambient light — fires at maximum power at dawn and dusk — thermal targeting matches solar arc"
"manipur","Manipur","northeast","Sangai-Nata — The Dance of the Dancing Deer","Thang-Phurit","Thang-Ta spear-and-shield set — weapon and dance prop simultaneously","Every attack angle is a dance step — opponent cannot predict because the movements are choreographed to be beautiful first and lethal second","Sangai-Nata Mk.II","Kinetic-resonance dual spear","Vibration frequency tuned to the sangai"
"meghalaya","Meghalaya","northeast","Megha-Maata — The Cloud Mother","Megha-Nakha (Cloud Claws)","Cloud-leopard claw gauntlets","Appears from cloud cover — four simultaneous claw strikes — disappears before the opponent recovers","Megha-Jaal Mk.II","Mist-dispersal combat system","Deploys targeted mist cloud — thermal vision suppressed — fights inside the cloud by sound and scent alone"
"mizoram","Mizoram","northeast","Tlawmngaihna-Desh — The Land of Selfless Duty","Tlawmngaihna-Danda (The Duty Staff)","Bamboo war-staff — split-section — six different combat configurations","Extends, collapses, splits — no opponent has fought the same version twice — community-taught fighting form that takes thirty years to master","Tlang-Vega Mk.II","Modular multi-configuration combat staff","Adaptive weapon — reconfigures in under a second — no predictable attack mode — each configuration named after a Mizo community virtue"
"nagaland","Nagaland","northeast","Dzukou-Rashtra — The Valley Kingdom","Dzukou-Dao (The Valley Cleaver)","Naga dao — heavy single-edge cleaver-sword with bamboo scabbard","Valley-sweep technique — clears bamboo and enemies in the same stroke — single-edge precision on the back-swing","Dzukou-Vega Mk.II","Carbon-fibre dao with vibration-edge technology","Vibration edge cuts through materials ten times its hardness — the Naga dao"
"sikkim","Sikkim","northeast","Beyul-Kshetra — The Hidden Land","Beyul-Kila (Hidden Land Phurba)","Ritual triple-bladed Tibetan dagger — spiritual and combat weapon simultaneously","Strikes body and spirit simultaneously — disrupts the opponent","Beyul-Kila Mk.II","Tri-frequency disruption blade","Three frequencies simultaneously — physical, electromagnetic, subsonic — affects body, electronics and will at once"
"tripura","Tripura","northeast","Tri-Pura — The Three Cities","Tri-Shakti (Three Powers)","Architectural disassembly tool set — crowbar, chisel-blade, and precision pick","Disassembles any structure in battle — removes keystones — collapses walls at the point opponents stand on them","Tri-Vega Mk.II","Precision demolition toolkit — sonic, thermal, mechanical","Three simultaneous structural attack vectors — any fortification has a three-city solution: find the three weakest points and remove them simultaneously"
"madhya-pradesh","Madhya Pradesh","central","Hridaya-Sthana — The Place of the Heart","Dvadasha-Shakti (Twelve Powers)","Twelve-bladed rotating war disc","Twelve simultaneous strike angles — represents twelve philosophical traditions — the opponent who defeats one faces eleven more","Hridaya-Chakra Mk.II","Twelve-mode adaptive energy system","Cycles through twelve attack configurations — never repeats in sequence — the heart"
"chhattisgarh","Chhattisgarh","central","Dandakaranya — The Forest of Destiny","Dandaka-Danda (Forest Staff)","Staff carved from the heartwood of the Dandakaranya","The forest fights through it — every strike carries centuries of accumulated force — it has never been broken","Vana-Shakti Mk.II","Bioelectric forest-energy combat staff","Channels bio-electric energy from forest root networks — the staff taps into the mycorrhizal network — powered by the forest itself"
