deity_id,deity_name,tradition,domain,primary_quality,weapon_or_symbol,animal_vehicle,relevant_heroes,story_use,notes
krishna,Krishna,Hindu — Vaishnava (Vishnu Avatar 8),The divine charioteer — the cosmic teacher — the one who reveals the infinite in the ordinary — love as cosmic force,The wisdom that enables others to act — the truth told in paradox — beauty as the highest form of instruction,Sudarshana Chakra + Kaumodaki mace + Flute,Peacock feather (indirect),manipur (Moirangthem — directly — Krishna visited Manipur) + uttar-pradesh (Gangaputra),For the wisest heroes — for the Bhagavad Gita moment — for the character who guides without fighting — for the dance that is also truth,Krishna's visit to Manipur and marriage to Chitrangada is a direct Mahabharata connection — Manipur's hero carries this lineage
surya,Surya,Hindu — Vedic,The sun god — source of all energy — father of Karna in the Mahabharata — the light that comes before all things,The power that comes first — first light — the advantage of being earliest — but also the isolation of being first,Lotus + chariot drawn by 7 horses,Crow (as vehicle of Shani his son) — Garuda (indirect),arunachal-pradesh (Udayagiri),For dawn-power heroes — for the Karna archetype (sun's son) — for heroes who are first and pay the price of being first,Surya as Karna's divine father is the most important Mahabharata connection for Arunachal Pradesh — the dawn state's hero carries the sun's gift and the sun's tragic child's shadow
kamakhya,Kamakhya / Tantric Shakti,Hindu — Tantric Shakta,The great goddess of Assam — the power in the earth itself — the yoni pitha — the most fundamental feminine force,Invincibility born from the earth — the armor that is not separate from the body but the body itself made sacred,The earth itself is her weapon — the creative power that cannot be separated from the destructive,None fixed — she IS the ground,assam (Kamalavarna),For heroes whose power comes from the land itself — for the rhino bond specifically — for the earth as armor,Kamakhya is one of the 51 Shakti Pithas — the most sacred — her power is specifically connected to the earth and to Assam as a landscape
saraswati,Saraswati,Hindu — multiple traditions,Goddess of knowledge learning arts and wisdom — the sacred river that runs underground,The knowledge that flows underground even when the surface is dry — the wisdom that enables without forcing,Veena + books + lotus + water vessel,Peacock or swan / Hamsa,uttarakhand (Kasturika — for her pharmacopoeia knowledge),For scholars and knowledge-keepers — for heroes whose power is in what they know not what they do — for the hidden river of wisdom,Saraswati as an underground river (the mythical Saraswati River) is perfectly aligned with the buried knowledge theme of multiple Hulmane-The-Saga stories
indra,Indra,Hindu — Vedic,King of the gods — god of thunder and lightning — wielder of the Vajra — the divine warrior-king,The thunderbolt that strikes once and decisively — the power that changes a battlefield in a single moment — but must be aimed by wisdom not rage,Vajra (thunderbolt),Airavata the white elephant,bihar (Vajramukha — named after Vajra) + karnataka (Indrani aspect for Tungabhadra),For thunder-power heroes — for heroes who carry the weight of the divine hammer — for the moment when pure force is the right answer,Indra's complexity (a flawed divine king who both serves dharma and violates it) makes him the most honest deity reference — his power and his failures both appear in the heroes he inspires
hanuman,Hanuman,Hindu — Vaishnava,The divine monkey — the devotee whose love gives him the power to cross the uncrossable,The power of devotion that becomes physical ability — love for the cause that makes any height possible — the sky-leaper,Gada mace + his own fists + Lanka's fire,None fixed — he IS the aerial force,maharashtra (Shivagati — the fort-climber, sky-leaper quality),For heroes whose power is their devotion to what they protect — for the vertical fighter — for the hero who arrives when others say arrival is impossible,Hanuman's role as the one who crosses the ocean of impossibility is essential for Shivagati — she crosses the ocean of the cliff face instead
avalokitesvara,Avalokitesvara / Bodhisattva of Compassion,Buddhist,The one who chooses to remain near the world to reduce its suffering — infinite compassion as infinite power,Compassion as strength — the choice to protect through never harming — the warrior who wins without fighting,Lotus + prayer beads,None fixed,sikkim (Kanchenjunga),For the most advanced heroes — those who have reached the point where wisdom is protection — for the non-violent warrior — for the Buddhist-adjacent kingdoms,Avalokitesvara as the primary deity reference for Sikkim reflects the Tibetan Buddhist tradition that is dominant there — the monastery hero needs a Buddhist divine reference not a Hindu one
jagannath,Jagannath,Hindu — Vaishava (syncretic),Lord of the Universe — the deity of Puri — the deity of all peoples (no caste in Jagannath's temple),The cosmic wheel that turns regardless — the lord who belongs to all — the democracy of the divine,Sudarshana Chakra (implied) + the chariot itself,None fixed — the chariot is his vehicle,odisha (Jagannathi),For heroes whose power is in inclusivity and motion — for the wheel that keeps turning — for the chariot builders who maintain what holds the cosmos,Jagannath's syncretic nature (accepted by all communities) makes him ideal for Odisha's hero whose power is in building community across divides
tripurasundari,Tripurasundari / Lalita,Hindu — Tantric Shakta,The beautiful goddess of the three cities — the supreme Shakti — the most complete divine feminine form,The beauty that is also the cosmos — the three cities as three levels of reality — the triple goddess of creation maintenance and dissolution,Sri Chakra (geometric form) + all weapons indirectly,None fixed,tripura (Tripurari — paired with Tripurari Shiva form),For the triple-fortress kingdom specifically — the goddess of the three cities for the hero named for the destroyer of the three cities,The pairing of Tripurasundari (goddess of three cities) with Tripurari (Shiva who destroys them) for the Tripura hero and villain is the deepest theological mirror in Hulmane-The-Saga
parvati,Parvati,Hindu — Shaiva,The mountain goddess — daughter of Himavat — consort of Shiva — the divine feminine in its most patient and most powerful form,The mountain that becomes the goddess — beauty that is also endurance — love that is also absolute strength,Trishula (shared with Shiva when she is Uma) + lotus,Lion or tiger,tamil-nadu (Kurinjiselvi indirect),For mountain heroes — for the patience that is also the deepest power — for the hero who was told the mountain was too steep and climbed it anyway,Parvati as mother of both Ganesha and Kartikeya connects her to the two patron deities of Hulmane-The-Saga's opening and combat themes
